Part Number,Name,Description/Notes,Quantity,Unit Cost (USD),Line Cost (USD),Link
2130,DRV8833 Dual Motor Driver Carrier,"Pololu carrier board; one board drives 2 DC motors, so 2 boards cover the 4-motor build",2,10.95,21.90,https://www.pololu.com/product/2130
MT004,TT Motor + Wheel Kit (4 motors + 4 wheels),"One kit satisfies the 4 TT motors with 4 wheels requirement",1,8.97,8.97,https://www.amazon.com/Motor-Leads-Gearbox-Shaft-200RPM/dp/B0D8H89XDY
B0H6LGM6QB,ELEGOO Dupont Jumper Wire Kit (120 pcs),"Includes male-to-male, male-to-female, and female-to-female jumpers; use the M/M wires as needed",1,6.98,6.98,https://www.amazon.com/ELEGOO-Multicolored-Breadboard-Compatible-Projects/dp/B0H6LGM6QB
113991054,Seeed Studio XIAO ESP32-C3,"Wi-Fi/BLE MCU board; 1-piece unsoldered option",1,4.90,4.90,https://www.seeedstudio.com/Seeed-XIAO-ESP32C3-p-5431.html
PLA-1KG,ELEGOO PLA Filament 1.75mm 1kg,"Representative PLA spool for printing the CAD parts; choose color as needed",1,13.99,13.99,https://us.elegoo.com/products/pla-filament-1-7 5mm-colored-1kg
LBX,Large Moving/Shipping/Packing Box with Handles,"Representative large cardboard box",1,2.98,2.98,https://www.homedepot.com/p/The-Home-Depot-Large-Moving-Shipping-Packing-Box-with-Handles-LBX/316324894
PB10PD-SP,Scosche GoBat USB Dual-Port Power Bank 10000mAh,"Dual-port power bank; verify the output mix fits your final charging setup",1,44.99,44.99,https://www.staples.com/scosche-gobat-usb-dual-port-power-bank-10000mah-black-pb10pd-sp/product_24562572
A82G2,Anker USB-A to USB-C Cable (2-pack),"One pack provides the required 2 USB-A to USB-C cables",1,14.99,14.99,https://www.anker.com/products/a82g2
239,Full Sized Premium Breadboard - 830 Tie Points,"Solderless breadboard for prototyping and bring-up",1,5.95,5.95,https://www.adafruit.com/product/239
2230-HD,Scotch Tough Heavy-Duty All-Weather Duct Tape,"Representative tape roll for box/chassis assembly and reinforcement",1,10.20,10.20,https://www.homedepot.com/p/3M-Scotch-1-88-in-x-30-yds-Tough-Heavy-Duty-All-Weather-Duct-Tape-2230-HD/205503026
GS25DT,Stanley Dual Temp Glue Sticks (12-pack),"Representative hot glue consumable; requires a compatible glue gun if you do not already have one",1,7.74,7.74,https://www.homedepot.com/p/Stanley-7-16-in-x-10-in-Dual-Temp-Glue-Sticks-12-Pack-GS25DT/204287393
1067268,Fiskars Everyday 8 in. Non-Stick Titanium Scissors with SoftGrip,"General-purpose scissors for cardboard, tape, and trimming work",1,9.99,9.99,https://www.homedepot.com/p/Fiskars-Everyday-8-in-Non-Stick-Titanium-Scissors-with-SoftGrip-1067268/326808934
13276,AIM 60/40 Tin-Lead Rosin Core Solder Wire 1lb,"Electronics solder; use with ventilation/PPE as appropriate",1,28.95,28.95,https://www.amazon.com/AIM-Solder-13276-0-032inch-1lbs-0-81mm-454g/dp/B0B94P31WF
WLIRK3012A,Weller 30W Corded Soldering Iron Kit with LED Halo Ring,"Starter soldering iron kit for electronics and wiring work",1,20.56,20.56,https://www.homedepot.com/p/Weller-30-Watt-120-Volt-Corded-Soldering-Iron-Kit-with-LED-Halo-Ring-WLIRK3012A/315743439
